Timestamp,Raw,Temp
0,245.00,119.63
1,246.00,120.12
2,246.00,120.12
3,245.00,119.63
4,244.00,119.14
5,243.00,118.65
6,242.00,118.16
7,241.00,117.68
8,241.00,117.68
9,242.00,118.16
10,244.00,119.14
11,245.00,119.63
12,247.00,120.61
13,245.00,119.63
14,244.00,119.14
15,244.00,119.14
16,244.00,119.14
17,242.00,118.16
18,241.00,117.68
19,241.00,117.68
20,242.00,118.16
21,245.00,119.63
22,245.00,119.63
23,246.00,120.12
24,247.00,120.61
25,248.00,121.09
26,248.00,121.09
27,242.00,118.16
28,244.00,119.14
29,243.00,118.65
30,241.00,117.68
31,240.00,117.19
32,240.00,117.19
33,244.00,119.14
34,241.00,117.68
35,244.00,119.14
36,245.00,119.63
37,275.00,134.28
38,252.00,123.05
39,251.00,122.56
40,251.00,122.56
41,256.00,125.00
42,247.00,120.61
43,247.00,120.61
44,245.00,119.63
45,246.00,120.12
46,241.00,117.68
47,241.00,117.68
48,244.00,119.14
49,246.00,120.12
50,248.00,121.09
51,250.00,122.07
52,251.00,122.56
53,249.00,121.58
54,250.00,122.07
55,246.00,120.12
56,245.00,119.63
57,242.00,118.16
58,242.00,118.16
59,245.00,119.63
60,244.00,119.14
61,244.00,119.14
62,246.00,120.12
63,250.00,122.07
64,253.00,123.54
65,253.00,123.54
66,246.00,120.12
67,235.00,114.75
68,243.00,118.65
69,244.00,119.14
70,248.00,121.09
71,260.00,126.95
72,248.00,121.09
73,247.00,120.61
74,247.00,120.61
75,248.00,121.09
76,250.00,122.07
77,251.00,122.56
78,252.00,123.05
79,252.00,123.05
80,253.00,123.54
81,252.00,123.05
82,251.00,122.56
83,252.00,123.05
84,250.00,122.07
85,250.00,122.07
86,247.00,120.61
87,243.00,118.65
88,247.00,120.61
